timestamp,service_name,domain,region,version,spec_file,numerical_score,grade,compliant,total_issues,operations_count,rank,updated_date
2026-03-27T10:31:01.320283+00:00,poc-api-1,unknown,unknown,1.0.1,poc-api-1@1.0.1,100,A,True,0,0,1,27/03/2026 11:30:49
2026-03-27T10:31:01.332668+00:00,poc-api-2,unknown,unknown,2.2.1,poc-api-2@2.2.1,0,E,False,944,0,2,27/03/2026 11:30:49
2026-03-27T10:31:01.333455+00:00,poc-api-3,unknown,unknown,1.0.0,poc-api-3@1.0.0,0,E,False,123,0,3,27/03/2026 11:30:49
